Epochs: 46      |Loss: 3.0116431205808247       |Train Acc: 0.20099486774575603 |Val Acc: 0.17555555555555555   |Time: 237.1885686099995
Epochs: 47      |Loss: 2.995668733587766        |Train Acc: 0.20524279510461904 |Val Acc: 0.16444444444444445   |Time: 230.93316478305496
Epochs: 48      |Loss: 2.991962443109656        |Train Acc: 0.20637978681405447 |Val Acc: 0.18222222222222223   |Time: 235.11097028292716
Epochs: 49      |Loss: 2.9789511586929844       |Train Acc: 0.2095223055665219  |Val Acc: 0.19777777777777777   |Time: 229.97824267717078
Epochs: 50      |Loss: 2.972763746339156        |Train Acc: 0.2099486774575602  |Val Acc: 0.18666666666666668   |Time: 226.61403426202014
Epochs: 51      |Loss: 2.9627435133083506       |Train Acc: 0.2128701144887485  |Val Acc: 0.20666666666666667   |Time: 227.95354203600436
Epochs: 52      |Loss: 2.95253108950034 |Train Acc: 0.2146229767074615  |Val Acc: 0.18  |Time: 238.65783244208433
Epochs: 53      |Loss: 2.944727450403544        |Train Acc: 0.21831819976312672 |Val Acc: 0.19333333333333333   |Time: 230.94769985903986
Epochs: 54      |Loss: 2.934698449077222        |Train Acc: 0.21915515199368338 |Val Acc: 0.17777777777777778   |Time: 248.65464687906206
Epochs: 55      |Loss: 2.923711851415924        |Train Acc: 0.22150809317015396 |Val Acc: 0.2   |Time: 244.6879513550084
Epochs: 56      |Loss: 2.917891231899058        |Train Acc: 0.22321358073430714 |Val Acc: 0.18222222222222223   |Time: 238.875602113083
Epochs: 57      |Loss: 2.9091092369502776       |Train Acc: 0.22458744571654166 |Val Acc: 0.2   |Time: 241.6541346369777
Epochs: 58      |Loss: 2.900754801098462        |Train Acc: 0.22796683774180812 |Val Acc: 0.2   |Time: 240.85763853183016
Epochs: 59      |Loss: 2.8921869328630994       |Train Acc: 0.22960915909988155 |Val Acc: 0.19555555555555557   |Time: 239.94772978289984
Epochs: 60      |Loss: 2.8828062690993894       |Train Acc: 0.23131464666403473 |Val Acc: 0.19111111111111112   |Time: 236.68637863406911
Epochs: 61      |Loss: 2.8777258675812827       |Train Acc: 0.23273588630082906 |Val Acc: 0.18666666666666668   |Time: 237.53430739510804
Epochs: 62      |Loss: 2.8639680328173363       |Train Acc: 0.23560994867745755 |Val Acc: 0.21333333333333335   |Time: 247.59900804096833
Epochs: 63      |Loss: 2.8706953472193173       |Train Acc: 0.23376233714962494 |Val Acc: 0.19555555555555557   |Time: 244.94025990297087
Epochs: 64      |Loss: 2.857956980435311        |Train Acc: 0.23785234899328858 |Val Acc: 0.20666666666666667   |Time: 252.71765285287984
Epochs: 65      |Loss: 2.849611919834545        |Train Acc: 0.23965258586656138 |Val Acc: 0.20222222222222222   |Time: 249.0276929170359
Epochs: 66      |Loss: 2.837864578761369        |Train Acc: 0.24108961705487564 |Val Acc: 0.17777777777777778   |Time: 253.17744513507932
Epochs: 67      |Loss: 2.83788202719871 |Train Acc: 0.24276352151598896 |Val Acc: 0.18222222222222223   |Time: 243.4661005740054
Epochs: 68      |Loss: 2.824173889050971        |Train Acc: 0.24547966837741808 |Val Acc: 0.18  |Time: 251.1886086820159
Epochs: 69      |Loss: 2.8222779687157837       |Train Acc: 0.24565337544413737 |Val Acc: 0.20222222222222222   |Time: 247.9724176558666
Epochs: 70      |Loss: 2.812181930602232        |Train Acc: 0.2498539281484406  |Val Acc: 0.20444444444444446   |Time: 244.2014047401026
Epochs: 71      |Loss: 2.804515946983491        |Train Acc: 0.2493959731543624  |Val Acc: 0.20222222222222222   |Time: 240.84946034499444
Epochs: 72      |Loss: 2.7998223680344863       |Train Acc: 0.2527279905250691  |Val Acc: 0.19777777777777777   |Time: 239.49389746715315
Epochs: 73      |Loss: 2.7974729962731084       |Train Acc: 0.2514804579549941  |Val Acc: 0.2088888888888889    |Time: 244.04631206579506
Epochs: 74      |Loss: 2.7909941161125955       |Train Acc: 0.2533912356889064  |Val Acc: 0.19555555555555557   |Time: 229.49202507408336
Epochs: 75      |Loss: 2.7773524139109123       |Train Acc: 0.2554125542834583  |Val Acc: 0.20222222222222222   |Time: 230.81946602789685
Epochs: 76      |Loss: 2.775227643602976        |Train Acc: 0.2570706671930517  |Val Acc: 0.2   |Time: 251.33735063904896
Epochs: 77      |Loss: 2.775840876922276        |Train Acc: 0.25831819976312675 |Val Acc: 0.22666666666666666   |Time: 231.7445072568953
Epochs: 78      |Loss: 2.7610564732165663       |Train Acc: 0.2601500197394394  |Val Acc: 0.22444444444444445   |Time: 222.85400858009234
Epochs: 79      |Loss: 2.7540517497147396       |Train Acc: 0.26363995262534545 |Val Acc: 0.22  |Time: 246.48496228898875
Epochs: 80      |Loss: 2.747927543242553        |Train Acc: 0.2656928543229372  |Val Acc: 0.2111111111111111    |Time: 241.71744294813834
Epochs: 81      |Loss: 2.744106563996572        |Train Acc: 0.2651559415712594  |Val Acc: 0.2111111111111111    |Time: 245.62127943011
Epochs: 82      |Loss: 2.7450319684243607       |Train Acc: 0.26686142913541255 |Val Acc: 0.2088888888888889    |Time: 224.67298579704948
Epochs: 83      |Loss: 2.7295289468708783       |Train Acc: 0.2696091590998816  |Val Acc: 0.21777777777777776   |Time: 229.84540848690085
Epochs: 84      |Loss: 2.7264677437670466       |Train Acc: 0.2703987366758784  |Val Acc: 0.23555555555555555   |Time: 235.50406756578013
Epochs: 85      |Loss: 2.7214830423559166       |Train Acc: 0.2723253059613107  |Val Acc: 0.20222222222222222   |Time: 239.14092346513644
Epochs: 86      |Loss: 2.7077743526696687       |Train Acc: 0.2746466640347414  |Val Acc: 0.22444444444444445   |Time: 225.72088653291576
Epochs: 87      |Loss: 2.6989241199666596       |Train Acc: 0.2761468614291354  |Val Acc: 0.22666666666666666   |Time: 232.17089187609963
Epochs: 88      |Loss: 2.70483808697423 |Train Acc: 0.275988945913936   |Val Acc: 0.2222222222222222    |Time: 233.68930669804104
Epochs: 89      |Loss: 2.691629570499033        |Train Acc: 0.27775759968416897 |Val Acc: 0.2222222222222222    |Time: 228.69888370088302
Epochs: 90      |Loss: 2.6866857566901268       |Train Acc: 0.27932096328464273 |Val Acc: 0.23777777777777778   |Time: 226.65944221010432
Epochs: 91      |Loss: 2.682623190881704        |Train Acc: 0.2796999605211212  |Val Acc: 0.21777777777777776   |Time: 226.30848800297827
Epochs: 92      |Loss: 2.6785639530352063       |Train Acc: 0.28151598894591395 |Val Acc: 0.2311111111111111    |Time: 236.6194719839841
Epochs: 93      |Loss: 2.67385884990534 |Train Acc: 0.28104224240031583 |Val Acc: 0.2288888888888889    |Time: 231.19679021905176
Epochs: 94      |Loss: 2.673499277531277        |Train Acc: 0.2835688906435057  |Val Acc: 0.2288888888888889    |Time: 233.1178979249671
Epochs: 95      |Loss: 2.65860244917013 |Train Acc: 0.28750098697197    |Val Acc: 0.2311111111111111    |Time: 231.50987159297802
Epochs: 96      |Loss: 2.6593417389760883       |Train Acc: 0.2854480852743782  |Val Acc: 0.22444444444444445   |Time: 224.03880553808995
Epochs: 97      |Loss: 2.6535776164246507       |Train Acc: 0.2864271614686143  |Val Acc: 0.21777777777777776   |Time: 225.96532775904052
Epochs: 98      |Loss: 2.6431062981303954       |Train Acc: 0.2892064745361232  |Val Acc: 0.24  |Time: 242.01126801897772
Epochs: 99      |Loss: 2.6410815817256523       |Train Acc: 0.29001184366363997 |Val Acc: 0.24  |Time: 228.03060210309923
Epochs: 100     |Loss: 2.625703425198452        |Train Acc: 0.2934701934465061  |Val Acc: 0.21777777777777776   |Time: 228.08182316902094
Epochs: 101     |Loss: 2.623216074707477        |Train Acc: 0.2945440189498618  |Val Acc: 0.22444444444444445   |Time: 232.62874169484712
Epochs: 102     |Loss: 2.6170930938555044       |Train Acc: 0.2941650217133833  |Val Acc: 0.22666666666666666   |Time: 233.6498521459289
Epochs: 103     |Loss: 2.609694100295984        |Train Acc: 0.2990288195815239  |Val Acc: 0.23555555555555555   |Time: 232.44327265303582
Epochs: 104     |Loss: 2.6080481308079784       |Train Acc: 0.29711804184761154 |Val Acc: 0.2311111111111111    |Time: 233.20558940200135
Epochs: 105     |Loss: 2.598441171875783        |Train Acc: 0.30051322542439796 |Val Acc: 0.23555555555555555   |Time: 228.21404777700081
Epochs: 106     |Loss: 2.594308937944728        |Train Acc: 0.3000236873272799  |Val Acc: 0.2311111111111111    |Time: 228.52922406420112
Epochs: 107     |Loss: 2.585575584614178        |Train Acc: 0.303497828661666   |Val Acc: 0.2111111111111111    |Time: 224.40134884021245
Epochs: 108     |Loss: 2.5791939111401616       |Train Acc: 0.3050454007106198  |Val Acc: 0.24222222222222223   |Time: 231.26494003809057
Epochs: 109     |Loss: 2.5749568018553712       |Train Acc: 0.30695617844453216 |Val Acc: 0.2311111111111111    |Time: 228.13351176283322
Epochs: 110     |Loss: 2.560838431698317        |Train Acc: 0.3100671140939597  |Val Acc: 0.21333333333333335   |Time: 228.09776924503967
Epochs: 111     |Loss: 2.5610143642899925       |Train Acc: 0.3103829451243585  |Val Acc: 0.24  |Time: 227.7183041148819
Epochs: 112     |Loss: 2.5537013811374245       |Train Acc: 0.31221476510067114 |Val Acc: 0.21777777777777776   |Time: 238.80075656692497
Epochs: 113     |Loss: 2.551637441271433        |Train Acc: 0.31230951440979077 |Val Acc: 0.24666666666666667   |Time: 237.29108299291693
Epochs: 114     |Loss: 2.5397476390186524       |Train Acc: 0.3140781681800237  |Val Acc: 0.22666666666666666   |Time: 231.1247020738665
Epochs: 115     |Loss: 2.5312430376654502       |Train Acc: 0.31655744176865375 |Val Acc: 0.21333333333333335   |Time: 239.09366156207398
Epochs: 116     |Loss: 2.519167159163712        |Train Acc: 0.32023687327279904 |Val Acc: 0.22444444444444445   |Time: 232.38999613607302
Epochs: 117     |Loss: 2.523483580443589        |Train Acc: 0.3182787208843269  |Val Acc: 0.22666666666666666   |Time: 233.74625879898667
Epochs: 118     |Loss: 2.5096611825383515       |Train Acc: 0.32225819186735094 |Val Acc: 0.2311111111111111    |Time: 226.21145802992396
Epochs: 119     |Loss: 2.510032512173086        |Train Acc: 0.32323726806158704 |Val Acc: 0.22  |Time: 239.75765842711553
Epochs: 120     |Loss: 2.4927768414772595       |Train Acc: 0.3278957757599684  |Val Acc: 0.23777777777777778   |Time: 229.5202308180742
Epochs: 121     |Loss: 2.490577897829733        |Train Acc: 0.32748519542045007 |Val Acc: 0.22444444444444445   |Time: 232.51157836802304
Epochs: 122     |Loss: 2.48741693860403 |Train Acc: 0.3287169364390051  |Val Acc: 0.2088888888888889    |Time: 231.06617703987285
Epochs: 123     |Loss: 2.4742985747277477       |Train Acc: 0.3320805369127517  |Val Acc: 0.23333333333333334   |Time: 232.24042134499177
Epochs: 124     |Loss: 2.4640568438980637       |Train Acc: 0.3336439005132254  |Val Acc: 0.23333333333333334   |Time: 222.4413106648717
Epochs: 125     |Loss: 2.4578699062767586       |Train Acc: 0.3366600868535334  |Val Acc: 0.23777777777777778   |Time: 228.34657554887235
Epochs: 126     |Loss: 2.449994556552753        |Train Acc: 0.33678641926569286 |Val Acc: 0.2288888888888889    |Time: 228.36009059497155
Epochs: 127     |Loss: 2.442365156543429        |Train Acc: 0.34068693249111726 |Val Acc: 0.24  |Time: 231.72327751503326
Epochs: 128     |Loss: 2.429425482040237        |Train Acc: 0.3428977497039084  |Val Acc: 0.23555555555555555   |Time: 224.21571793896146
Epochs: 129     |Loss: 2.4249940139184676       |Train Acc: 0.34373470193446504 |Val Acc: 0.2222222222222222    |Time: 234.5648949209135
Epochs: 130     |Loss: 2.416754967101798        |Train Acc: 0.34444532175286224 |Val Acc: 0.21555555555555556   |Time: 238.05697965691797
Epochs: 131     |Loss: 2.4009487543810133       |Train Acc: 0.3498934070272404  |Val Acc: 0.24  |Time: 226.6083774920553
Epochs: 132     |Loss: 2.3958810321191906       |Train Acc: 0.35058823529411764 |Val Acc: 0.24  |Time: 230.23665236821398
Epochs: 133     |Loss: 2.3819021846991117       |Train Acc: 0.3548203711014607  |Val Acc: 0.22666666666666666   |Time: 237.11200306611136
Epochs: 134     |Loss: 2.3696365500381233       |Train Acc: 0.35736281089617056 |Val Acc: 0.20222222222222222   |Time: 233.34712679800577
Epochs: 135     |Loss: 2.371270139609878        |Train Acc: 0.3570153967627319  |Val Acc: 0.21777777777777776   |Time: 227.10647790296935
Epochs: 136     |Loss: 2.350101111608205        |Train Acc: 0.36318989340702723 |Val Acc: 0.2088888888888889    |Time: 241.17611572891474
Epochs: 137     |Loss: 2.3482772011122495       |Train Acc: 0.36178444532175286 |Val Acc: 0.24222222222222223   |Time: 236.24401664198376
Epochs: 138     |Loss: 2.3338124156233544       |Train Acc: 0.3660955388866956  |Val Acc: 0.2222222222222222    |Time: 229.98761512408964
Epochs: 139     |Loss: 2.324743202117607        |Train Acc: 0.36920647453612315 |Val Acc: 0.2088888888888889    |Time: 224.56204073992558
Epochs: 140     |Loss: 2.3201290965503825       |Train Acc: 0.3695538886695618  |Val Acc: 0.21777777777777776   |Time: 227.0052132050041
Epochs: 141     |Loss: 2.309098293509259        |Train Acc: 0.37402289774970393 |Val Acc: 0.2222222222222222    |Time: 228.29731864319183
Epochs: 142     |Loss: 2.2995513645839276       |Train Acc: 0.37620213185945517 |Val Acc: 0.2111111111111111    |Time: 231.74489064817317
Epochs: 143     |Loss: 2.2768979035146706       |Train Acc: 0.3823924200552704  |Val Acc: 0.21333333333333335   |Time: 233.7135401861742
Epochs: 144     |Loss: 2.269787276381332        |Train Acc: 0.3835767864192657  |Val Acc: 0.21777777777777776   |Time: 234.1555817089975
Epochs: 145     |Loss: 2.261255786273021        |Train Acc: 0.38381365969206477 |Val Acc: 0.2311111111111111    |Time: 230.47293651592918
Epochs: 146     |Loss: 2.255798190810019        |Train Acc: 0.3855507303592578  |Val Acc: 0.2   |Time: 242.1674638320692
Epochs: 147     |Loss: 2.24234645116861 |Train Acc: 0.39011448874851956 |Val Acc: 0.20666666666666667   |Time: 232.0334325421136
Epochs: 148     |Loss: 2.224119982231854        |Train Acc: 0.396004737465456   |Val Acc: 0.21555555555555556   |Time: 236.548269120045
Epochs: 149     |Loss: 2.2120972899057816       |Train Acc: 0.3967311488353731  |Val Acc: 0.19333333333333333   |Time: 226.92054789699614
Epochs: 150     |Loss: 2.211850862751542        |Train Acc: 0.3990209238057639  |Val Acc: 0.21555555555555556   |Time: 231.5619462679606
Epochs: 151     |Loss: 2.1957016730092045       |Train Acc: 0.40233714962495065 |Val Acc: 0.2111111111111111    |Time: 230.74787537800148
Epochs: 152     |Loss: 2.181837485614992        |Train Acc: 0.40547966837741806 |Val Acc: 0.2   |Time: 233.8712741630152
Epochs: 153     |Loss: 2.163562266548961        |Train Acc: 0.4116067903671536  |Val Acc: 0.20222222222222222   |Time: 235.7864291840233
Epochs: 154     |Loss: 2.157033285053643        |Train Acc: 0.4132806948282669  |Val Acc: 0.20222222222222222   |Time: 225.43013026402332
Epochs: 155     |Loss: 2.1343044858255547       |Train Acc: 0.41613896565337544 |Val Acc: 0.2111111111111111    |Time: 231.61607175203972
Epochs: 156     |Loss: 2.1298454967789437       |Train Acc: 0.42089222266087645 |Val Acc: 0.20222222222222222   |Time: 225.68041386106052
Epochs: 157     |Loss: 2.109002632505565        |Train Acc: 0.4252980655349388  |Val Acc: 0.18666666666666668   |Time: 236.3065413790755
Epochs: 158     |Loss: 2.1024072701009517       |Train Acc: 0.42626135017765493 |Val Acc: 0.2   |Time: 247.82626884710044
Epochs: 159     |Loss: 2.07983842683695 |Train Acc: 0.43208843268851166 |Val Acc: 0.19555555555555557   |Time: 223.75027470407076
Epochs: 160     |Loss: 2.072599229786267        |Train Acc: 0.4336044216344256  |Val Acc: 0.20444444444444446   |Time: 242.157848716015
Epochs: 161     |Loss: 2.052704822131404        |Train Acc: 0.43988945913936045 |Val Acc: 0.20666666666666667   |Time: 229.49223125213757
Epochs: 162     |Loss: 2.045244315433916        |Train Acc: 0.4395736281089617  |Val Acc: 0.19555555555555557   |Time: 234.66554660210386
Epochs: 163     |Loss: 2.0282890401411753       |Train Acc: 0.4445163837347019  |Val Acc: 0.19333333333333333   |Time: 227.2666099970229
Epochs: 164     |Loss: 2.0146348929979374       |Train Acc: 0.44783260955388865 |Val Acc: 0.1711111111111111    |Time: 251.43166689295322
Epochs: 165     |Loss: 2.010220864401756        |Train Acc: 0.44740623766285037 |Val Acc: 0.19333333333333333   |Time: 240.19428172404878
Epochs: 166     |Loss: 1.9841383326463062       |Train Acc: 0.45609159099881563 |Val Acc: 0.20222222222222222   |Time: 234.60959104797803
Epochs: 167     |Loss: 1.9603786750316055       |Train Acc: 0.46264508487958944 |Val Acc: 0.18444444444444444   |Time: 230.06605674885213
Epochs: 168     |Loss: 1.9533914056221486       |Train Acc: 0.46474536123174104 |Val Acc: 0.17333333333333334   |Time: 230.1747997889761
Epochs: 169     |Loss: 1.9288185635565582       |Train Acc: 0.4700986971969996  |Val Acc: 0.18222222222222223   |Time: 227.30709053203464
Epochs: 170     |Loss: 1.9328373898944033       |Train Acc: 0.46840900118436635 |Val Acc: 0.18444444444444444   |Time: 232.1587834598031
Epochs: 171     |Loss: 1.9052123632818825       |Train Acc: 0.4773312277931307  |Val Acc: 0.19333333333333333   |Time: 230.65875625889748
Epochs: 172     |Loss: 1.8818976747363723       |Train Acc: 0.48233714962495067 |Val Acc: 0.19111111111111112   |Time: 234.24003127100877
Epochs: 173     |Loss: 1.862111439938325        |Train Acc: 0.48830635609948675 |Val Acc: 0.18666666666666668   |Time: 226.86204739194363
Epochs: 174     |Loss: 1.850951467789636        |Train Acc: 0.4908961705487564  |Val Acc: 0.19555555555555557   |Time: 229.8620932449121
Epochs: 175     |Loss: 1.8364164731684194       |Train Acc: 0.4920331622581919  |Val Acc: 0.20444444444444446   |Time: 249.87057297700085
Epochs: 176     |Loss: 1.8153383159468026       |Train Acc: 0.5005606000789578  |Val Acc: 0.18444444444444444   |Time: 238.83385396096855
Epochs: 177     |Loss: 1.799208572196057        |Train Acc: 0.5039873667587841  |Val Acc: 0.18666666666666668   |Time: 234.47878091502935
Epochs: 178     |Loss: 1.7843024442490503       |Train Acc: 0.5071298855112515  |Val Acc: 0.18888888888888888   |Time: 233.00381457293406
